B1,B2,B3,B4,B5,B6,B7,Class
195,279,414,441,699,817,789,1
209,290,418,457,735,852,839,1
208,283,414,451,715,846,838,1
203,279,407,435,691,809,774,1
190,279,413,443,703,867,833,1
195,287,419,452,732,865,839,1
246,336,501,550,958,1162,1037,1
251,332,479,528,937,1066,971,1
231,322,477,525,889,1006,909,1
218,319,476,524,890,1002,907,1
273,369,524,572,936,1135,1058,1
264,355,510,569,955,1086,971,1
270,357,512,564,927,1093,992,1
256,338,488,531,878,1032,939,1
255,352,498,546,907,1071,951,1
258,341,492,542,895,1012,920,1
234,347,547,590,1068,1178,1065,1
232,348,546,593,1058,1182,1069,1
239,343,537,581,1031,1147,1051,1
237,341,536,579,1075,1163,1047,1
256,347,488,559,972,1314,1271,1
185,292,447,505,895,1147,1176,1
189,298,455,515,904,1181,1190,1
247,336,484,547,950,1227,1205,1
208,305,471,532,899,1085,1078,1
235,327,474,542,901,1117,1120,1
203,303,461,529,892,1091,1062,1
220,323,482,558,927,1158,1135,1
217,327,483,561,961,1150,1122,1
203,307,478,552,951,1188,1123,1
211,284,415,437,742,806,732,1
218,295,424,454,761,864,832,1
187,267,391,416,708,833,756,1
221,291,422,457,745,819,755,1
213,292,428,460,749,850,815,1
197,278,407,438,745,863,795,1
193,265,389,412,674,772,712,1
185,263,389,410,677,753,692,1
219,289,419,454,735,836,805,1
222,287,422,457,757,851,791,1
193,257,381,403,654,735,674,1
194,267,396,420,672,764,715,1
218,291,419,452,733,813,781,1
207,279,412,437,719,788,721,1
211,289,418,449,741,843,796,1
201,281,407,436,714,776,711,1
222,302,438,471,784,870,818,1
218,293,429,457,773,849,792,1
221,303,438,472,786,852,784,1
222,305,436,473,773,854,805,1
202,297,438,475,828,943,861,1
243,353,551,638,1203,1644,1515,1
221,329,497,574,1057,1392,1311,1
208,294,435,475,804,885,816,1
233,362,545,641,1219,1623,1494,1
219,327,498,578,1067,1365,1332,1
241,347,551,648,1243,1660,1523,1
216,324,500,579,1090,1438,1405,1
212,328,497,573,1070,1392,1360,1
239,357,548,640,1209,1630,1496,1
324,448,631,685,1082,1325,1052,1
252,406,637,694,1126,1395,1076,1
384,484,611,639,936,1070,938,1
116,317,604,659,1012,1166,974,1
248,406,641,699,1099,1314,1081,1
327,444,626,672,1022,1238,1063,1
390,477,610,642,949,1146,1014,1
122,324,607,675,1051,1190,1007,1
247,337,490,529,852,1035,1015,1
271,348,496,538,835,1016,1005,1
277,358,503,546,864,1091,1088,1
287,365,520,565,904,1191,1172,1
269,348,495,530,880,1113,1095,1
256,331,482,515,828,1022,1013,1
249,332,476,509,800,959,950,1
274,360,511,555,874,1109,1110,1
258,341,489,528,878,1101,1069,1
273,351,497,540,874,1039,1001,1
251,337,482,522,845,1029,1006,1
249,338,485,526,853,1007,956,1
267,362,528,571,945,1074,1049,1
290,377,531,569,903,1062,1051,1
316,400,548,589,938,1113,1111,1
320,415,557,593,901,1081,1087,1
333,415,560,595,943,1095,1093,1
283,378,539,582,916,1083,1070,1
340,423,568,600,945,1076,1060,1
346,433,575,609,936,1070,1050,1
288,387,552,585,963,1110,1093,1
346,429,574,633,926,1050,1058,1
305,400,572,632,962,1063,1008,1
250,364,574,638,1057,1218,1046,1
242,352,539,601,990,1125,1002,1
297,389,556,612,980,1102,1022,1
351,433,576,627,956,1084,1048,1
274,380,544,601,980,1121,1032,1
243,345,523,585,972,1100,981,1
335,427,572,621,977,1130,1091,1
251,329,462,504,791,942,894,1
283,357,488,524,821,966,915,1
301,382,523,568,896,1066,969,1
321,390,509,548,859,948,851,1
290,352,477,507,801,938,874,1
242,315,451,488,778,922,865,1
246,322,467,507,790,912,846,1
237,319,455,504,798,894,820,1
250,331,477,529,833,990,908,1
237,319,459,504,797,887,803,1
244,317,457,501,765,848,769,1
237,311,454,500,766,856,774,1
235,313,454,492,750,857,786,1
242,316,453,498,781,882,795,1
326,409,546,588,831,1052,1083,1
327,406,540,582,805,1016,1057,1
236,328,478,533,822,922,825,1
335,417,553,602,826,1081,1145,1
331,416,555,610,849,1091,1126,1
327,404,546,603,877,1133,1140,1
330,403,531,575,813,1099,1157,1
316,392,519,564,790,969,966,1
311,393,517,548,760,952,989,1
311,385,518,550,755,949,998,1
315,395,526,574,800,1098,1187,1
307,386,513,551,773,1004,1033,1
316,390,517,551,754,926,964,1
251,336,478,537,768,1033,1060,1
251,336,474,530,769,1021,1050,1
251,328,469,522,767,1034,1041,1
251,332,465,527,779,1033,1029,1
481,512,609,680,953,1314,1258,1
485,533,632,714,1031,1515,1443,1
455,501,587,649,921,1310,1231,1
467,501,580,641,885,1227,1217,1
470,506,591,658,945,1306,1248,1
461,496,582,630,884,1246,1198,1
473,517,625,694,1071,1476,1365,1
449,501,611,679,1033,1404,1328,1
450,496,613,685,1020,1376,1301,1
466,513,621,687,1028,1402,1341,1
451,501,626,705,1064,1398,1319,1
467,515,618,687,1046,1406,1330,1
449,505,612,695,1114,1380,1345,1
407,468,612,689,1060,1429,1336,1
385,454,589,667,915,1323,1340,1
418,484,605,682,934,1326,1305,1
474,518,625,704,965,1374,1305,1
435,488,608,681,942,1332,1329,1
381,456,587,671,917,1285,1282,1
304,398,569,648,918,1351,1359,1
384,460,606,678,919,1281,1262,1
445,518,643,736,1018,1404,1323,1
465,514,610,696,951,1377,1349,1
451,518,654,742,1049,1518,1462,1
377,440,582,672,928,1363,1362,1
414,476,588,666,916,1321,1305,1
362,442,567,647,885,1242,1219,1
285,378,532,619,873,1267,1294,1
365,438,585,683,1021,1473,1390,1
389,448,580,655,910,1283,1272,1
244,329,471,528,733,972,987,1
335,409,526,581,787,1099,1130,1
249,333,477,532,741,999,1013,1
330,412,519,570,775,1061,1090,1
245,338,474,531,739,1034,1046,1
323,405,509,559,761,1023,1050,1
330,401,515,568,769,1027,1026,1
241,333,471,522,739,982,989,1
245,343,490,561,726,826,720,1
337,415,540,616,801,1004,875,1
304,382,517,585,760,865,771,1
249,336,488,552,718,813,690,1
283,363,501,568,760,916,830,1
254,341,496,562,739,859,760,1
317,382,511,571,719,811,730,1
251,350,493,565,754,920,827,1
254,349,482,549,722,829,749,1
