B1,B2,B3,B4,B5,B6,B7,Class
10283,9420,8445,8273,10307,11570,10109,1
10361,9534,8542,8373,10564,11931,10467,1
10380,9566,8683,8610,11393,12351,10391,1
10423,9611,8716,8608,11171,12012,9976,1
10358,9535,8575,8360,10569,11852,10216,1
10376,9514,8486,8211,10132,11314,10152,1
10313,9481,8511,8259,10146,11523,10176,1
10335,9495,8498,8268,10132,11412,10249,1
10312,9448,8453,8237,9943,11205,10035,1
10359,9567,8628,8471,10502,11718,10262,1
10452,9622,8680,8538,11135,12056,10204,1
10323,9462,8465,8202,10245,11132,9761,1
10359,9508,8501,8214,9843,10892,9861,1
10375,9535,8559,8308,10132,11546,10268,1
10457,9645,8656,8438,10276,11571,10355,1
10528,9708,8732,8504,10356,11543,10331,1
10501,9673,8714,8531,10611,11858,10489,1
10392,9548,8571,8362,10234,11562,10234,1
10432,9588,8536,8304,10142,11098,9881,1
10382,9547,8595,8383,10421,10964,9696,1
10438,9655,8734,8531,10892,11595,9986,1
10383,9558,8620,8428,10880,11354,9679,1
10461,9621,8644,8472,10662,11732,10345,1
10489,9693,8732,8567,10690,11590,10258,1
10465,9634,8686,8492,10613,11660,10351,1
10293,9452,8606,8446,10599,11206,9923,1
10250,9421,8560,8424,10840,11852,10316,1
10212,9377,8549,8348,11828,11925,10018,1
10256,9432,8630,8532,11384,13008,11208,1
10260,9471,8598,8562,10910,13102,11317,1
10257,9434,8564,8376,10846,11519,9852,1
10298,9457,8561,8386,10058,12318,11371,1
10306,9438,8472,8207,9578,11446,11017,1
10289,9440,8502,8277,9906,12140,11307,1
10258,9427,8513,8350,10257,11240,10080,1
10283,9470,8587,8502,10801,12753,11424,1
10227,9358,8441,8194,10599,11191,9885,1
10228,9379,8472,8269,10612,11862,10678,1
10257,9469,8618,8571,11251,13113,11089,1
10287,9466,8607,8519,10578,11726,10374,1
10314,9482,8601,8480,10352,12996,11618,1
10310,9466,8517,8357,10028,12194,11294,1
10221,9373,8465,8242,10263,11281,9971,1
11114,10238,9091,8867,10824,11300,9929,1
11187,10306,9132,8927,11069,11717,9773,1
11199,10312,9114,8843,10984,11533,9551,1
11208,10311,9090,8780,10701,11039,9153,1
11231,10328,9105,8741,10088,9995,8697,1
11060,10201,9068,8835,10709,11717,10104,1
11174,10306,9149,8943,11170,11809,9766,1
11200,10302,9113,8843,10828,11386,9490,1
11087,10234,9093,8842,10695,11829,10408,1
11052,10180,9043,8827,10641,12083,10644,1
11229,10350,9114,8756,10263,10659,9429,1
11133,10272,9125,8898,11094,12211,10077,1
11108,10230,9109,8878,11096,11906,10031,1
11199,10318,9151,8939,11077,11828,9933,1
11055,10166,8958,8627,9952,11246,10628,1
11063,10232,9033,8725,10283,11377,10198,1
11159,10297,9127,8881,10682,11399,9816,1
11169,10302,9107,8816,10548,11522,9793,1
11063,10226,9059,8811,10386,11347,10305,1
11114,10215,9102,8867,10927,11610,9933,1
11165,10296,9120,8814,10317,11356,10002,1
11160,10277,9020,8668,10052,10847,9719,1
11106,10242,9067,8817,10578,11170,9677,1
11077,10183,8980,8660,9876,11454,10502,1
11081,10199,8977,8716,10336,11556,10197,1
11042,10201,9020,8702,10222,11072,10196,1
11080,10223,9059,8821,10676,11566,9978,1
11075,10204,9048,8768,10353,11387,9963,1
11022,10153,9001,8732,10199,11759,10748,1
11146,10262,9115,8811,10380,11824,10649,1
10522,9711,8677,8522,9966,11249,10140,1
10417,9548,8569,8338,9995,10613,9316,1
10526,9706,8691,8399,9577,10649,9489,1
10548,9731,8721,8462,9599,10561,9664,1
10547,9794,8778,8578,9759,10656,9688,1
10501,9707,8759,8596,10083,12340,11085,1
10523,9734,8760,8639,9879,10703,9736,1
10493,9727,8779,8628,9889,10497,9502,1
10482,9653,8654,8409,9737,11020,9824,1
10539,9755,8840,8724,10158,10764,9750,1
10098,9203,8212,7858,9854,10988,9932,1
10038,9105,8193,7764,11254,11253,9449,1
10450,9632,8656,8498,9969,10534,9605,1
10520,9732,8808,8710,10274,11159,9980,1
10498,9685,8681,8483,9888,10960,9725,1
10431,9632,8624,8423,10263,10924,9651,1
10487,9669,8678,8564,10087,11304,10298,1
10502,9736,8847,8769,10634,12240,10700,1
10467,9657,8710,8579,10475,12029,10496,1
10414,9567,8582,8385,10133,11229,9882,1
10093,9186,8221,7876,9920,11090,9891,1
10467,9678,8740,8574,10077,11782,10355,1
10451,9665,8727,8586,10051,11320,10063,1
10094,9187,8286,7921,10666,11336,9729,1
10077,9206,8209,7894,9984,11158,9794,1
10087,9200,8271,7936,10467,11664,10133,1
10077,9182,8229,7927,10352,11748,10100,1
10086,9183,8261,7935,10581,11832,10165,1
10064,9152,8224,7910,10651,12010,10147,1
10035,9131,8211,7874,10917,11971,9970,1
10021,9111,8167,7825,10338,11640,9835,1
10027,9150,8212,7879,10778,12028,9874,1
10035,9147,8220,7967,9711,11164,10020,1
10057,9142,8190,7928,9424,10951,10092,1
10054,9126,8133,7814,9164,10576,10077,1
10066,9243,8359,8197,10546,12414,10606,1
10050,9174,8225,7979,9685,11261,10113,1
10041,9153,8221,7971,9636,11464,10499,1
10065,9158,8278,8094,10167,11731,10204,1
10070,9189,8242,8011,9928,11355,10195,1
10029,9118,8151,7856,9711,10700,9688,1
10004,9142,8202,7946,9881,11180,10088,1
10058,9166,8228,7986,9791,11576,10316,1
10101,9251,8422,8256,10699,13032,10742,1
10109,9263,8436,8323,11120,13386,11124,1
10024,9105,8164,7865,9580,10711,9699,1
10024,9120,8198,7928,9727,10888,9859,1
10055,9179,8272,8058,10058,11764,10430,1
10053,9165,8230,8025,9630,11131,10115,1
10047,9148,8223,7975,9536,10980,10084,1
10131,9313,8565,8585,11311,12702,11197,1
10124,9285,8396,8269,10605,12876,11077,1
