B1,B2,B3,B4,B5,B6,B7,Class
10692,9837,8880,8176,12292,9415,7264,1
10713,9847,8864,8145,12344,9355,7249,1
10678,9849,8869,8166,12329,9395,7264,1
10704,9841,8880,8189,12375,9385,7265,1
10698,9834,8862,8159,12177,9248,7184,1
10710,9863,8878,8140,12410,9406,7294,1
10687,9843,8897,8198,12540,9558,7365,1
10714,9847,8883,8171,12471,9478,7297,1
10711,9840,8848,8145,12134,9212,7149,1
10668,9835,8852,8156,12261,9303,7207,1
10708,9837,8859,8146,12365,9356,7222,1
10692,9838,8865,8163,12339,9368,7259,1
10700,9832,8892,8150,12628,9476,7291,1
10687,9842,8886,8158,12644,9553,7334,1
10461,9639,8702,8025,11108,10162,8111,1
10472,9644,8726,8060,11149,10401,8224,1
10510,9647,8713,8052,11075,10235,8214,1
10457,9645,8712,8039,11138,10168,8146,1
10478,9678,8759,8061,11712,10318,8159,1
10453,9661,8744,8050,11392,10153,8130,1
10492,9659,8793,8022,12099,10170,7964,1
10501,9662,8825,8026,12350,10189,7922,1
10514,9678,8832,8012,12399,10698,8419,1
10517,9678,8838,7978,12552,10482,8222,1
10516,9672,8822,7989,12430,10573,8286,1
10491,9687,8825,8020,12273,10692,8465,1
10475,9684,8825,8020,12322,10686,8422,1
10497,9676,8834,8034,12277,10671,8384,1
10534,9673,8855,8040,12344,10780,8494,1
10497,9680,8840,8067,12205,10649,8459,1
10469,9688,8826,8088,12167,10877,8566,1
10407,9543,8442,7862,9226,8784,7561,1
10413,9555,8436,7871,9195,8797,7634,1
10419,9559,8433,7867,9208,8718,7562,1
10415,9545,8429,7880,9232,8764,7548,1
10409,9525,8429,7892,9307,8817,7616,1
10425,9559,8430,7842,9254,8669,7538,1
10425,9541,8446,7917,9302,9205,8003,1
10434,9555,8445,7876,9290,9185,7923,1
10408,9560,8429,7855,9216,8878,7707,1
10418,9556,8445,7891,9305,9398,8103,1
10419,9554,8466,7929,9417,9285,7957,1
10414,9562,8461,7910,9451,9334,7986,1
10582,9755,8873,8122,11408,10067,8350,1
10573,9776,8853,8128,11513,10127,8384,1
10579,9775,8857,8125,11441,10069,8350,1
10595,9755,8851,8125,11365,10141,8416,1
10435,9616,8779,8030,12560,10421,8222,1
10434,9578,8721,7955,12295,10090,8033,1
10579,9756,8860,8127,11457,10180,8413,1
10598,9766,8857,8121,11378,10176,8462,1
10391,9576,8735,7976,12287,10278,8041,1
10421,9578,8776,7985,12464,10331,8056,1
10438,9609,8774,8003,12434,10412,8220,1
10451,9604,8775,7996,12443,10460,8301,1
10428,9588,8749,7989,12291,10300,8140,1
10421,9584,8773,7992,12468,10398,8167,1
10579,9754,8844,8109,11214,10089,8406,1
