B1,B2,B3,B4,B5,B6,B7,Class
9840,9075,8079,7725,8629,9554,9361,1
9834,9069,8058,7669,8394,9326,9187,1
9826,9066,8044,7657,8334,9181,9159,1
9840,9081,8062,7723,8477,9457,9305,1
9833,9059,8042,7640,8373,9085,9068,1
9833,9072,8061,7705,8612,9480,9181,1
9832,9087,8069,7664,8520,9330,9152,1
9841,9067,8054,7669,8403,9311,9221,1
9800,9068,8048,7666,8364,9328,9128,1
9860,9084,8112,7793,8889,9670,9318,1
9850,9141,8106,7905,8807,10624,10324,1
9886,9138,8163,8024,9100,11083,10511,1
9858,9136,8115,7947,8768,10784,10424,1
9879,9173,8191,8006,8790,10837,10649,1
9887,9169,8168,7994,8771,10798,10682,1
9880,9151,8123,7922,8692,10711,10529,1
9863,9151,8151,7972,9048,10863,10359,1
9881,9134,8148,7982,8908,10754,10346,1
10031,9274,8298,8011,8324,9365,9512,1
10048,9284,8296,8050,8462,9490,9570,1
10039,9279,8300,8062,8437,9455,9593,1
10043,9301,8327,8086,8504,9640,9725,1
10057,9272,8283,8002,8269,9221,9316,1
10011,9268,8274,7995,8288,9288,9447,1
10028,9273,8282,8002,8285,9341,9529,1
10030,9277,8280,8000,8338,9298,9443,1
10048,9284,8283,8009,8325,9262,9380,1
9927,9163,8187,7950,8742,10089,9895,1
10044,9290,8312,8080,8505,9687,9683,1
10036,9277,8303,8065,8426,9340,9322,1
9893,9157,8177,7899,8671,9934,9649,1
9884,9135,8172,7927,8777,9936,9571,1
10032,9269,8287,8022,8342,9402,9556,1
9919,9167,8188,7966,8821,10176,9880,1
9918,9183,8201,7958,8763,10080,9913,1
9888,9143,8155,7883,8758,9545,9425,1
9890,9152,8149,7835,8480,9694,9689,1
9904,9150,8143,7848,8494,9659,9658,1
9910,9160,8170,7931,8718,9820,9745,1
9886,9146,8161,7883,8632,9633,9524,1
9886,9125,8100,7775,8294,9323,9413,1
9905,9160,8135,7810,8395,9592,9553,1
9866,9114,8093,7745,8245,9305,9342,1
9884,9124,8096,7748,8222,9284,9332,1
9872,9125,8106,7764,8308,9376,9451,1
9873,9118,8101,7766,8344,9310,9333,1
9876,9146,8133,7836,8428,9542,9578,1
9870,9110,8064,7699,8115,9013,9097,1
9848,9096,8071,7702,8085,9058,9140,1
9868,9105,8057,7678,8031,8800,8986,1
9894,9121,8041,7661,7692,8516,8460,1
9913,9102,8012,7621,7586,8198,8220,1
9903,9117,8042,7683,7712,8394,8415,1
9902,9138,8065,7710,7834,8436,8467,1
9924,9148,8051,7692,7818,8453,8413,1
9919,9145,8050,7688,7796,8401,8352,1
9911,9127,8091,7727,7825,8493,8465,1
9896,9139,8076,7718,7805,8567,8551,1
9904,9143,8066,7702,7786,8473,8459,1
9892,9137,8081,7724,7846,8577,8536,1
9933,9127,8049,7673,7714,8353,8275,1
9916,9137,8089,7724,7872,8540,8481,1
9912,9159,8090,7743,7877,8484,8479,1
9901,9119,8052,7683,7726,8424,8398,1
9937,9163,8061,7700,7791,8633,8555,1
9709,8968,7973,7711,8599,10057,9636,1
9710,8966,7982,7739,8671,10172,9730,1
9717,8988,8004,7753,8699,10324,9906,1
9696,8958,7994,7725,8765,10273,9791,1
9716,8970,7994,7723,8607,10374,10072,1
9682,8949,7957,7683,8554,10027,9602,1
9691,8963,7996,7771,8887,10333,9661,1
9697,8960,7978,7702,8689,10344,9876,1
9711,8968,7959,7679,8517,10187,9944,1
9683,8941,7960,7674,8587,10134,9767,1
9728,8985,7985,7735,8565,10534,10336,1
9723,8960,7958,7689,8454,10291,10179,1
9693,8949,7975,7733,8777,10198,9711,1
9693,8946,7955,7731,8898,10404,9616,1
9716,8983,7983,7738,8612,10259,9995,1
9960,9238,8287,8182,8893,10870,10945,1
9933,9171,8200,8075,8864,10569,10491,1
9931,9205,8258,8156,9032,11181,10822,1
9950,9213,8242,8183,9054,11026,10875,1
9956,9212,8244,8138,8924,10914,10818,1
9929,9212,8254,8127,8769,10690,10869,1
9809,9048,7991,7696,8112,10052,10436,1
9829,9081,8040,7745,8258,10122,10581,1
9803,9070,8039,7722,8126,10262,10760,1
9806,9048,7982,7664,7967,9890,10414,1
9784,9036,7996,7652,7971,9880,10367,1
9816,9052,7992,7677,7967,9943,10427,1
9783,9045,8026,7753,8348,10087,10281,1
9821,9068,8028,7719,8135,10263,10737,1
9985,9288,8344,8233,9056,11748,12018,1
10028,9332,8456,8393,9313,11900,12104,1
9805,9060,8018,7714,8090,10065,10503,1
9808,9053,8008,7687,8025,10046,10585,1
9796,9055,8009,7677,8052,10046,10611,1
9790,9048,8007,7708,8166,9960,10308,1
9793,9041,8019,7721,8219,10152,10438,1
9837,9071,8031,7747,8094,10115,10700,1
9824,9068,8034,7753,8122,10293,10789,1
9812,9050,8014,7717,8118,10031,10480,1
9791,9037,7996,7676,8059,9980,10337,1
10001,9307,8350,8253,9079,11735,11955,1
9975,9274,8352,8243,9025,11694,11992,1
